id,repeatProbability
12262064,0
12277270,0
12332190,0
12524696,0
13074629,0
13387341,0
13501141,0
13558712,0
13563017,0
13584134,0
13744500,0
14026320,0
14049441,0
14101174,0
14278542,0
14632152,0
14723452,0
14790034,0
14989775,0
15050385,0
15073302,0
15134033,0
15163210,0
15417308,0
15575309,0
15708395,0
16075389,0
16078766,0
16130307,0
16412251,0
16551772,0
16740945,0
16765955,0
16790471,0
16799857,0
16802992,0
16829614,0
16961724,0
16968198,0
17041984,0
17208569,0
17524817,0
17552659,0
17563640,0
17652157,0
17678929,0
17792880,0
17956604,0
18019282,0
18036844,0
18470775,0
18714453,0
18854215,0
18985721,0
19006747,0
19119985,0
19134469,0
19166969,0
19253253,0
19277502,0
19346425,0
19460457,0
19607398,0
19648997,0
19667741,0
20008183,0
20552767,0
20760852,0
21303030,0
21323129,0
21420965,0
21489091,0
21690320,0
21774908,0
21862750,0
21873377,0
22018852,0
22149847,0
22199203,0
22221380,0
22231751,0
22326006,0
22496007,0
22560643,0
22587434,0
22644300,0
22735677,0
22745038,0
22806689,0
23011309,0
23194432,0
23194614,0
23211846,0
23340837,0
23480814,0
23727805,0
23763655,0
23972718,0
24032560,0
24120930,0
42937475,0
48386542,0
48532593,0
48605649,0
48747840,0
49182915,0
49204603,0
49240577,0
49332997,0
49522674,0
49591669,0
49710372,0
50006012,0
50050726,0
50066863,0
50173943,0
50246742,0
50288900,0
50545000,0
50635466,0
50677951,0
50786785,0
50791864,0
50828137,0
51053733,0
51328832,0
51349274,0
51377848,0
51388399,0
51472749,0
51804381,0
51868456,0
52015552,0
52113271,0
52328342,0
52387756,0
52584180,0
52590015,0
52770204,0
52795289,0
52942577,0
53041103,0
53098486,0
53120801,0
53257670,0
53280850,0
53404104,0
53593836,0
53638549,0
53724690,0
53879707,0
53885141,0
53899367,0
54001770,0
54174570,0
54181077,0
54244565,0
54371887,0
54382575,0
54396440,0
54536172,0
54590006,0
54612729,0
54675558,0
54678988,0
54706842,0
54786312,0
54877654,0
54887182,0
54888166,0
55054099,0
55224643,0
55233603,0
55304581,0
55308708,0
55319724,0
55489245,0
55495293,0
55640032,0
55701436,0
55710392,0
55712353,0
55724905,0
55810929,0
55901143,0
55964098,0
56114316,0
56211996,0
56486066,0
56544981,0
56661209,0
56802105,0
56811020,0
56914425,0
56987029,0
57039866,0
57044075,0
57147488,0
57172147,0
57269030,0
57272357,0
57315609,0
57340646,0
57367164,0
57426577,0
57513964,0
57539670,0
57553266,0
57574907,0
57581720,0
57612433,0
57834619,0
57897266,0
58077382,0
58161301,0
58237989,0
58330353,0
58524246,0
58558323,0
58814206,0
58867493,0
58891410,0
59120754,0
59150399,0
59252232,0
59370197,0
59469484,0
59572755,0
59574114,0
59600890,0
59638916,0
59735577,0
59928376,0
60235497,0
60283133,0
60321911,0
60461023,0
60548896,0
60755624,0
60761302,0
60825309,0
60983202,0
61094869,0
61109871,0
61142178,0
61196030,0
61296212,0
61322289,0
61366710,0
61390454,0
61416624,0
61444033,0
61486412,0
61599063,0
61933479,0
61989333,0
62102735,0
62310326,0
62407885,0
62426499,0
62496996,0
62577743,0
62611006,0
62673601,0
62743057,0
62877041,0
62995056,0
63007083,0
63019458,0
63318034,0
63336621,0
63341538,0
63532753,0
63575541,0
63585470,0
63626446,0
63707754,0
63866464,0
63976577,0
64169538,0
64233884,0
64272407,0
64532763,0
64872069,0
64960358,0
65173941,0
65307069,0
65329794,0
65487565,0
65538823,0
65756156,0
66163784,0
66194616,0
66221175,0
66258590,0
66303204,0
66448637,0
66503578,0
66612145,0
66614778,0
66650733,0
66814830,0
66929462,0
66966448,0
67079016,0
67086430,0
67133701,0
67306121,0
67339823,0
67388625,0
67513296,0
